input_text	target_text
Prior pacemaker or defibrillator lead placement	Prior pacemaker or defibrillator lead placement
Newly diagnosed systolic heart failure, with no prior left heart catheterization	Newly diagnosed systolic heart failure, with no prior left heart catheterization
Left main coronary artery disease with Intermediated Coronary Stenosis (lumen reduction less than or equal to 30%)	Left main coronary artery disease with Intermediated Coronary Stenosis (lumen reduction less than or equal to 30%)
Non-obstructing stenosis (<50% of all major epicardial vessels) on CTA or catherization in the past twelve\n\nCreated on 10/25/2021. Page 4 of 11\n\nmonths, in the absence of a new symptom complex	Non-obstructing stenosis (<50% of all major epicardial vessels) on CTA or catherization in the past twelve months, in the absence of a new symptom complex
Left main disease with intermediate coronary stenosis (lumen diameter reduction of 30-50%);	Left main disease with intermediate coronary stenosis (lumen diameter reduction of 30-50%)
Proximal and mid-left anterior descending (LAD) coronary artery disease with intermediate stenosis (lumen reduction 40-70%);	Proximal and mid-left anterior descending (LAD) coronary artery disease with intermediate stenosis (lumen reduction 40-70%)
Proximal and mid-left circumflex disease with intermediate coronary stenosis (lumen reduction 40-70%; (considered equivalent to two-vessel disease);	Proximal and mid-left circumflex disease with intermediate coronary stenosis (lumen reduction 40-70%; (considered equivalent to two-vessel disease)
Proximal two- or three-vessel disease with intermediate coronary stenosis in at least two vessels;	Proximal two- or three-vessel disease with intermediate coronary stenosis in at least two vessels
Right coronary disease with intermediate (lumen reduction 40-70%) coronary stenosis	Right coronary disease with intermediate (lumen reduction 40-70%) coronary stenosis
In the presence of pre - existing mettle disease such as congestive pith bankruptcy, prior myocardial infarct (MI ), angina, coronary arterial blood vessel disease, surgery dysrhythmias;	Presence of pre - live nub disease such as congestive heart nonstarter, anterior myocardial infarction (nautical mile ), angina, coronary artery disease, operating theatre dysrhythmias.
In the comportment of known comorbid conditions that may feign the tenderness, such as continuing pulmonary disease, peripheral vascular disease, diabetes, or renal impairment; or	Presence of have intercourse comorbid circumstance that crataegus laevigata affect the heart, such as chronic pneumonic disease, peripheral vascular disease, diabetes, or renal deterioration.
When the pending surgery need a general or regional anaesthetic.	The pending surgery requires a world wide or regional anaesthetic.
Thorax pain or angina pectoris pectoris,	Thorax pain or angina pectoris
Myocardial ischemia surgery infarction,	Myocardial ischemia oregon infarction
Arteriovascular disease admit coronary, central, and peripheral disease,	Arteriovascular disease including coronary, central, and peripheral disease
High blood pressure,	High blood pressure
Cardiac rhythm disturbance,	Cardiac rhythm disturbances
Cardiac hypertrophy,	Cardiac hypertrophy
Meat failure,	Mettle failure
Pericarditis,	Pericarditis
Morphologic cardiac condition,	Structural cardiac conditions
Neurologic disorders affecting the heart and soul,	Neurologic disorders affecting the ticker
Faint,	Faint
Paroxysmal weakness,	Paroxysmal helplessness
Sudden dizziness,	Sudden vertigo
Electrolyte asymmetry,	Electrolyte imbalance
Back breaker - alkali disorders,	Loony toons - base disorderliness
Temperature disorders,	Temperature disorderliness
Pulmonic disorders, and	Pneumonic disorders
Drug cardiotoxicity.	Drug cardiotoxicity
Provocative and neutralization testing and neutralization therapy of food allergies (sublingual, intracutaneous and subcutaneous) are excluded from Medicare coverage because available evidence does not show these tests and therapies medicare are effective	Provocative provocative and neutralization testing and neutralization therapy of food allergies (sublingual, intracutaneous and subcutaneous).
Qualitative multiallergen screens have insufficient literature demonstrating clear-cut clinical crt screen utility and are, therefore, non-covered	Qualitative multiallergen qualitative screens.
